indicator_id,指标体系,指标名称,单位,方向,运算符,目标/基准值,适用条件,计算公式,年份要求,空间边界要求,证据最低等级,指标属性,来源,来源URL,可用于排名,文献权重
NAT-I01,国家核心,单位能耗碳排放（20—100万吨标煤）,tCO2/tce,逆向,≤,0.2,年综合能源消费量20—100万吨标准煤,E_park / comprehensive_energy_tce,同一自然年,申报园区边界,A/B,硬约束,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I02,国家核心,单位能耗碳排放（≥100万吨标煤）,tCO2/tce,逆向,≤,0.3,年综合能源消费量≥100万吨标准煤,E_park / comprehensive_energy_tce,同一自然年,申报园区边界,A/B,硬约束,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I03,国家引导,清洁能源消费占比,%,正向,≥,90,适用园区,clean_energy_tce / total_energy_tce * 100,同一自然年,申报园区边界,A/B,引导,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I04,国家引导,园区企业产出产品单位能耗,合规率,正向,达到或优于,二级能耗限额标准,有适用限额标准的主要产品,达标主要产品数 / 应评价主要产品数 * 100,同一自然年,申报园区边界,A/B,引导,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I05,国家引导,工业固体废弃物综合利用率,%,正向,≥,80,产生工业固废的园区,综合利用量 / (当期产生量+综合利用往年贮存量) * 100,同一自然年,申报园区边界,A/B,引导,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I06,国家引导,余热/余冷/余压综合利用率,%,正向,≥,50,存在可回收余能的园区,各类余能利用率按可利用量加权,同一自然年,申报园区边界,A/B,引导,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
NAT-I07,国家引导,工业用水重复利用率,%,正向,≥,80,工业用水园区,重复用水量 / (取用新水量+重复用水量) * 100,同一自然年,申报园区边界,A/B,引导,发改环资〔2025〕910号附件3,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,仅在同类、同年、同边界且A/B证据时,
GD-I01,广东省20项,单位能耗碳排放,tCO2/tce,逆向,≤,0.3,年综合能源消费量≥10万吨标煤,E_park / comprehensive_energy_tce,同一自然年,省级建设方案确定边界,A/B,核心,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I02,广东省20项,清洁能源消费占比,%,正向,≥,90,—,clean_energy_tce / total_energy_tce * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I03,广东省20项,清洁燃料替代率,%,正向,≥,70,有燃料消费园区,clean_fuel_energy / replaceable_fuel_energy * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I04,广东省20项,需求响应能力占年最大负荷比例,%,正向,≥,10,—,verified_DR_capacity_MW / annual_max_load_MW * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I05,广东省20项,储能容量占日均用电量比例,%,正向,≥,10,—,usable_storage_MWh / daily_average_electricity_MWh * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I06,广东省20项,终端电气化率,%,正向,≥,70,—,terminal_electricity_tce / terminal_energy_tce * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I07,广东省20项,超低能耗/近零能耗建筑占新建建筑面积比例,%,正向,≥,50,有新建建筑,qualified_new_building_area / total_new_building_area * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I08,广东省20项,既有建筑节能改造面积,万平方米,正向,≥,3,有既有建筑,sum(verified_renovated_area),同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I09,广东省20项,清洁能源动力车辆保有量占比,%,正向,≥,70,园区及企业保有车辆,clean_vehicle_count / total_vehicle_count * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I10,广东省20项,主要产品单位能耗,标准等级,正向,达到或优于,二级能耗限额标准,有适用标准产品,逐产品对照现行能耗限额标准,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I11,广东省20项,工业固体废弃物综合利用率,%,正向,≥,80,产生工业固废,utilized_solid_waste / eligible_solid_waste * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I12,广东省20项,余热/余冷/余压综合利用率,%,正向,≥,50,存在可利用余能,weighted_utilized_waste_energy / recoverable_waste_energy * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I13,广东省20项,工业用水重复利用率,%,正向,≥,80,工业用水园区,reused_water / (fresh_water + reused_water) * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I14,广东省20项,碳捕集利用与封存规模,万吨/年,正向,≥,3,开展CCUS的园区,annual_verified_captured_CO2,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I15,广东省20项,绿色低碳或外向型企业占比,%,正向,≥,50,—,qualified_enterprise_count / enterprise_count * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
GD-I16,广东省20项,园区能碳管理与服务平台覆盖率,%,正向,≥,90,主要用能企业,covered_major_energy_enterprises / major_energy_enterprises * 100,同一自然年,省级建设方案确定边界,A/B,引导,广东省零碳园区建设指标体系（试行）公开附件,https://drc.gd.gov.cn/ywtz/content/post_4828441.html,仅同口径时；省级引导指标不应与国家核心指标混算,
